filter_company,date,filter_employee_title,filter_city,filter_country,employee_status,review_title,weight,metric_rating_overall,metric_rating_balance,metric_rating_culture,metric_rating_career,metric_rating_comp,metric_rating_mgmt,review_title_knowledge,review_title_power,review_title_respect,review_title_trust,review_title_social_support,review_title_romance,review_title_similarity,review_title_identity,metric_review_title_fun,review_title_conflict,pros_knowledge,pros_power,pros_respect,pros_trust,pros_social_support,pros_romance,pros_similarity,pros_identity,pros_fun,pros_conflict,cons_knowledge,cons_power,cons_respect,cons_trust,cons_social_support,cons_romance,cons_similarity,cons_identity,cons_fun,cons_conflict
nokia,2019-12,Barista,"Edinburgh, Scotland",United Kingdom,Current Employee,Barista,1,5,4,4,3,4,4,0.5088862181,0.5203607082,0.4912964702,0.4836214781,0.4690644443,0.4563826919,0.4853535891,0.4872877598,0.5938719511,0.5354609489,0.4756551087,0.507491827,0.5008906126,0.6342865825,0.5705180168,0.03269555792,0.4812488258,0.4491103888,0.576294601,0.2575434744,0.4514818788,0.469730556,0.4541661143,0.4927163422,0.51412642,0.3174460232,0.468991816,0.4465487599,0.657458663,0.4837119579
nokia,2020-2,Barista,"Birmingham, England",United Kingdom,Former Employee,Good,3,5,5,4,3,3,4,0.4854238629,0.495514065,0.5243846774,0.5077182055,0.5147767067,0.4531864822,0.5010190606,0.4863263369,0.5996932387,0.4588930905,0.5479294658,0.4857410491,0.571901679,0.4996998906,0.6253374815,0.09088737518,0.4205060601,0.3788442612,0.4475515783,0.1268142164,0.5061358809,0.1773480922,0.2853821218,0.4048330784,0.3411251903,0.1733978391,0.4793204367,0.4454582036,0.7886480689,0.3852345049
nokia,2020-2,Barista,"Beaconsfield, England",United Kingdom,Former Employee,Great fun,4,5,4,5,5,3,4,0.4420873821,0.4371902049,0.6125019789,0.5284699202,0.4830406308,0.3308183253,0.5030350685,0.4520095289,0.900474906,0.2945567369,0.3259613812,0.151506424,0.6950133443,0.795701921,0.7167024612,0.02594058588,0.5465220809,0.4279637337,0.8130931258,0.2116141468,0.5009501576,0.2324502766,0.6836537719,0.8040314317,0.6930363178,0.05603298172,0.4466042221,0.4285432994,0.4240502715,0.09790994972
starbucks,2020-2,Hospitality Team Member,"Belfast, Northern Ireland",United Kingdom,Former Employee,Okay,2,3,,,,,,0.4425741136,0.4825757742,0.493734479,0.4905002713,0.4857526422,0.4932165444,0.4851626754,0.4805617332,0.6220254898,0.5028294325,0.3390946686,0.3679391742,0.6108375192,0.6042855978,0.5611010194,0.03358355537,0.4807976782,0.3398737609,0.9858754277,0.1324785054,0.4786233902,0.3931111097,0.4310337305,0.4178920686,0.6091868877,0.09268511832,0.47753793,0.3920022249,0.5791425109,0.1767824441
starbucks,2020-2,Sales Associate,,,Former Employee,Kk,1,4,1,5,2,2,2,0.4780167043,0.5018204451,0.5057653785,0.4782446325,0.4730012417,0.5705472827,0.4865756035,0.4915229082,0.5255178213,0.488204658,0.6083807349,0.5206981301,0.3820110857,0.5310050845,0.3913213909,0.3178507686,0.4974903166,0.4598459899,0.5488476157,0.535369873,0.6082475781,0.5044289827,0.4937149584,0.4975642562,0.4854188859,0.2239096612,0.4762138128,0.5232023001,0.2477832884,0.4124195278
starbucks,2020-1,Barista,,,Former Employee,Good,2,5,,,,,,0.4854238629,0.495514065,0.5243846774,0.5077182055,0.5147767067,0.4531864822,0.5010190606,0.4863263369,0.5996932387,0.4588930905,0.6475439668,0.4830206335,0.2570632398,0.745118618,0.5381218195,6.48E-05,0.4164322913,0.4452371001,0.04123868048,0.1688695699,0.6594944596,0.4763963521,0.2930186093,0.5325728655,0.5181702971,0.0288431067,0.366576165,0.4278621078,0.2995743155,0.2939884961
starbucks,2020-1,Barista,"Bath, England",United Kingdom,Former Employee,Good fun,3,4,5,4,4,3,4,0.4241867959,0.4259919226,0.5723552704,0.5385542512,0.5364192724,0.3892213106,0.5004238486,0.4507820308,0.9307376146,0.3667045832,0.50562644,0.5134198666,0.4757273495,0.5773631334,0.5209281445,0.02265110798,0.4664055407,0.4475078583,0.3484301865,0.3062182963,0.4670275152,0.3367914855,0.5149686337,0.3542796373,0.2382160872,0.01669058762,0.2595151067,0.4363545775,0.1722940207,0.5506460667
starbucks,2020-1,Consulting Support Analyst,"Fleet, South East England, England",United Kingdom,Current Employee,barista,4,4,,,,,,0.4948738813,0.5258886814,0.4912964702,0.4843865335,0.4729440212,0.4895240664,0.476934433,0.4872877598,0.4553403556,0.5354609489,0.5563788414,0.504997611,0.5206068754,0.6283276677,0.6343526244,0.1163342819,0.4469926357,0.3688437045,0.5322906375,0.152386561,0.4959354997,0.5451853871,0.4960041046,0.5206012726,0.437599808,0.0252891928,0.4245553315,0.4110702276,0.351590395,0.4824596941
starbucks,2020-1,Barista,"London, England",United Kingdom,Former Employee,Banging first Job,5,5,4,5,5,4,5,0.4752248228,0.502907455,0.4310997427,0.4437621534,0.4121513069,0.1767546088,0.4621798694,0.4438769221,0.6611492634,0.594148159,0.6324126124,0.5956938267,0.3485282063,0.6085843444,0.5644254684,0.01603818871,0.373660773,0.3615370989,0.4452840388,0.09614973515,0.6837872863,0.4205624759,0.3076085746,0.2789130807,0.4557289481,0.01257058792,0.3340218365,0.258453548,0.4627961218,0.1197304726
starbucks,2020-2,Commercial Support,,,Current Employee,its fun when you're young,2,3,2,2,3,1,3,0.3902313411,0.3979484737,0.4974251091,0.5276289582,0.4815265238,0.5157572627,0.4894663692,0.464364022,0.9753349423,0.3532102406,0.3927327394,0.4085327983,0.6259402037,0.537561357,0.6497642994,0.1905413866,0.4633439183,0.462112546,0.9878968,0.1884780228,0.6756667495,0.1727066487,0.15061225,0.004460049793,0.3738958538,0.01167069096,0.04744566232,0.4299269021,0.4652910829,0.5625160933
