date,filter,text
31 December 2009,generaldynamics,generaldynamics's yearly stock price <b>decreased</b> by 25.96%
31 December 2010,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 21.60%
31 December 2011,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 4.56%
31 December 2012,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 0.80%
31 December 2013,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 21.81%
31 December 2014,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 53.21%
31 December 2015,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 20.90%
31 December 2016,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 6.00%
31 December 2017,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 36.80%
31 December 2018,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 3.08%
31 December 2019,generaldynamics,generaldynamics's yearly stock price <b>decreased</b> by 9.37%
31 December 2020,generaldynamics,generaldynamics's yearly stock price <b>decreased</b> by 12.74%
31 December 2021,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 4.71%
31 December 2009,nvr,nvr's yearly stock price <b>increased</b> by 1.16%
31 December 2010,nvr,nvr's yearly stock price <b>increased</b> by 22.52%
31 December 2011,nvr,nvr's yearly stock price <b>increased</b> by 3.59%
31 December 2012,nvr,nvr's yearly stock price <b>increased</b> by 16.08%
31 December 2013,nvr,nvr's yearly stock price <b>increased</b> by 19.51%
31 December 2014,nvr,nvr's yearly stock price <b>increased</b> by 19.18%
31 December 2015,nvr,nvr's yearly stock price <b>increased</b> by 25.99%
31 December 2016,nvr,nvr's yearly stock price <b>increased</b> by 14.39%
31 December 2017,nvr,nvr's yearly stock price <b>increased</b> by 52.22%
31 December 2018,nvr,nvr's yearly stock price <b>increased</b> by 12.53%
31 December 2019,nvr,nvr's yearly stock price <b>increased</b> by 15.28%
31 December 2020,nvr,nvr's yearly stock price <b>increased</b> by 12.13%
31 December 2021,nvr,nvr's yearly stock price <b>increased</b> by 19.38%
31 December 2009,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 4.94%
31 December 2010,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 16.74%
31 December 2011,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 20.01%
31 December 2012,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 6.68%
31 December 2013,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 28.09%
31 December 2014,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 22.80%
31 December 2015,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 16.29%
31 December 2016,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 33.16%
31 December 2017,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 16.67%
31 December 2018,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 9.29%
31 December 2019,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 20.26%
31 December 2020,atmosenergy,atmosenergy's yearly stock price <b>decreased</b> by 0.96%
31 December 2021,atmosenergy,atmosenergy's yearly stock price <b>decreased</b> by 10.35%
31 December 2009,pizzahut,pizzahut's yearly stock price <b>decreased</b> by 2.90%
31 December 2010,pizzahut,pizzahut's yearly stock price <b>increased</b> by 32.06%
31 December 2011,pizzahut,pizzahut's yearly stock price <b>increased</b> by 27.11%
31 December 2012,pizzahut,pizzahut's yearly stock price <b>increased</b> by 29.97%
31 December 2013,pizzahut,pizzahut's yearly stock price <b>increased</b> by 5.85%
31 December 2014,pizzahut,pizzahut's yearly stock price <b>increased</b> by 8.49%
31 December 2015,pizzahut,pizzahut's yearly stock price <b>increased</b> by 10.39%
31 December 2016,pizzahut,pizzahut's yearly stock price <b>increased</b> by 5.77%
31 December 2017,pizzahut,pizzahut's yearly stock price <b>increased</b> by 23.70%
31 December 2018,pizzahut,pizzahut's yearly stock price <b>increased</b> by 18.82%
31 December 2019,pizzahut,pizzahut's yearly stock price <b>increased</b> by 25.34%
31 December 2020,pizzahut,pizzahut's yearly stock price <b>decreased</b> by 8.93%
31 December 2021,pizzahut,pizzahut's yearly stock price <b>increased</b> by 14.30%
31 December 2009,halliburton,halliburton's yearly stock price <b>decreased</b> by 35.42%
31 December 2010,halliburton,halliburton's yearly stock price <b>increased</b> by 38.67%
31 December 2011,halliburton,halliburton's yearly stock price <b>increased</b> by 38.42%
31 December 2012,halliburton,halliburton's yearly stock price <b>decreased</b> by 22.16%
31 December 2013,halliburton,halliburton's yearly stock price <b>increased</b> by 37.44%
31 December 2014,halliburton,halliburton's yearly stock price <b>increased</b> by 31.54%
31 December 2015,halliburton,halliburton's yearly stock price <b>decreased</b> by 28.85%
31 December 2016,halliburton,halliburton's yearly stock price <b>increased</b> by 3.73%
31 December 2017,halliburton,halliburton's yearly stock price <b>increased</b> by 12.32%
31 December 2018,halliburton,halliburton's yearly stock price <b>decreased</b> by 4.62%
31 December 2019,halliburton,halliburton's yearly stock price <b>decreased</b> by 42.60%
31 December 2020,halliburton,halliburton's yearly stock price <b>decreased</b> by 38.51%
31 December 2021,halliburton,halliburton's yearly stock price <b>increased</b> by 36.50%
31 December 2009,paccar,paccar's yearly stock price <b>decreased</b> by 17.39%
31 December 2010,paccar,paccar's yearly stock price <b>increased</b> by 38.16%
31 December 2011,paccar,paccar's yearly stock price <b>increased</b> by 3.09%
31 December 2012,paccar,paccar's yearly stock price <b>decreased</b> by 4.59%
31 December 2013,paccar,paccar's yearly stock price <b>increased</b> by 31.25%
31 December 2014,paccar,paccar's yearly stock price <b>increased</b> by 22.69%
31 December 2015,paccar,paccar's yearly stock price <b>decreased</b> by 2.38%
31 December 2016,paccar,paccar's yearly stock price <b>decreased</b> by 2.61%
31 December 2017,paccar,paccar's yearly stock price <b>increased</b> by 24.46%
31 December 2018,paccar,paccar's yearly stock price <b>decreased</b> by 0.22%
31 December 2019,paccar,paccar's yearly stock price <b>increased</b> by 13.20%
31 December 2020,paccar,paccar's yearly stock price <b>increased</b> by 16.73%
31 December 2021,paccar,paccar's yearly stock price <b>increased</b> by 20.96%
31 December 2009,cintas,cintas's yearly stock price <b>decreased</b> by 6.51%
31 December 2010,cintas,cintas's yearly stock price <b>increased</b> by 6.87%
31 December 2011,cintas,cintas's yearly stock price <b>increased</b> by 15.53%
31 December 2012,cintas,cintas's yearly stock price <b>increased</b> by 33.01%
31 December 2013,cintas,cintas's yearly stock price <b>increased</b> by 23.15%
31 December 2014,cintas,cintas's yearly stock price <b>increased</b> by 36.54%
31 December 2015,cintas,cintas's yearly stock price <b>increased</b> by 35.95%
31 December 2016,cintas,cintas's yearly stock price <b>increased</b> by 18.35%
31 December 2017,cintas,cintas's yearly stock price <b>increased</b> by 33.61%
31 December 2018,cintas,cintas's yearly stock price <b>increased</b> by 40.02%
31 December 2019,cintas,cintas's yearly stock price <b>increased</b> by 29.38%
31 December 2020,cintas,cintas's yearly stock price <b>increased</b> by 24.10%
31 December 2021,cintas,cintas's yearly stock price <b>increased</b> by 18.05%
31 December 2009,mastercard,mastercard's yearly stock price <b>decreased</b> by 11.50%
31 December 2010,mastercard,mastercard's yearly stock price <b>increased</b> by 22.38%
31 December 2011,mastercard,mastercard's yearly stock price <b>increased</b> by 30.53%
31 December 2012,mastercard,mastercard's yearly stock price <b>increased</b> by 44.72%
31 December 2013,mastercard,mastercard's yearly stock price <b>increased</b> by 42.72%
31 December 2014,mastercard,mastercard's yearly stock price <b>increased</b> by 27.09%
31 December 2015,mastercard,mastercard's yearly stock price <b>increased</b> by 20.30%
31 December 2016,mastercard,mastercard's yearly stock price <b>increased</b> by 4.27%
31 December 2017,mastercard,mastercard's yearly stock price <b>increased</b> by 33.92%
31 December 2018,mastercard,mastercard's yearly stock price <b>increased</b> by 51.37%
31 December 2019,mastercard,mastercard's yearly stock price <b>increased</b> by 34.43%
31 December 2020,mastercard,mastercard's yearly stock price <b>increased</b> by 21.41%
31 December 2021,mastercard,mastercard's yearly stock price <b>increased</b> by 8.85%
31 December 2009,mtbank,mtbank's yearly stock price <b>decreased</b> by 27.12%
31 December 2010,mtbank,mtbank's yearly stock price <b>increased</b> by 59.34%
31 December 2011,mtbank,mtbank's yearly stock price <b>increased</b> by 2.54%
31 December 2012,mtbank,mtbank's yearly stock price <b>increased</b> by 12.18%
31 December 2013,mtbank,mtbank's yearly stock price <b>increased</b> by 27.38%
31 December 2014,mtbank,mtbank's yearly stock price <b>increased</b> by 13.51%
31 December 2015,mtbank,mtbank's yearly stock price <b>increased</b> by 4.03%
31 December 2016,mtbank,mtbank's yearly stock price <b>decreased</b> by 0.69%
31 December 2017,mtbank,mtbank's yearly stock price <b>increased</b> by 37.61%
31 December 2018,mtbank,mtbank's yearly stock price <b>increased</b> by 10.70%
31 December 2019,mtbank,mtbank's yearly stock price <b>decreased</b> by 4.83%
31 December 2020,mtbank,mtbank's yearly stock price <b>decreased</b> by 25.75%
31 December 2021,mtbank,mtbank's yearly stock price <b>increased</b> by 23.52%
31 December 2009,google,google's yearly stock price <b>decreased</b> by 5.41%
31 December 2010,google,google's yearly stock price <b>increased</b> by 21.82%
31 December 2011,google,google's yearly stock price <b>increased</b> by 6.23%
31 December 2012,google,google's yearly stock price <b>increased</b> by 12.98%
31 December 2013,google,google's yearly stock price <b>increased</b> by 37.56%
31 December 2014,google,google's yearly stock price <b>increased</b> by 28.37%
31 December 2015,google,google's yearly stock price <b>increased</b> by 9.13%
31 December 2016,google,google's yearly stock price <b>increased</b> by 23.10%
31 December 2017,google,google's yearly stock price <b>increased</b> by 23.13%
31 December 2018,google,google's yearly stock price <b>increased</b> by 19.40%
31 December 2019,google,google's yearly stock price <b>increased</b> by 6.16%
31 December 2020,google,google's yearly stock price <b>increased</b> by 21.50%
31 December 2009,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 25.26%
