date,filter,text
1 January 2009,nokia,Nokia Stocks -53% compared to previous year
1 January 2010,nokia,Nokia Stocks -21% compared to previous year
1 January 2011,nokia,Nokia Stocks -10% compared to previous year
1 January 2012,nokia,Nokia Stocks -54% compared to previous year
November 2012,,Obama is reelected
1 January 2013,nokia,Nokia Stocks -22% compared to previous year
1 January 2014,nokia,Nokia Stocks +10% compared to previous year
1 January 2015,nokia,Nokia Stocks -10% compared to previous year
1 January 2016,nokia,Nokia Stocks -1% compared to previous year
1 January 2017,nokia,Nokia Stocks -31% compared to previous year
6 June 2017,nokia,Nokia is attempting to reduce approximately $1 billion in operating costs by 2018 by cutting thousands of jobs in Europe
1 January 2018,nokia,Nokia Stocks -12% compared to previous year
12 Feb 2018,nokia,Hundreds of IT jobs are at risk in Finland as Nokia announces plans for more cuts thousands of jobs amid 5G transformation
1 January 2019,nokia,Nokia Stocks +25% compared to previous year
16 January 2019,nokia,Nokia Corporation aim to achieve €700 million in cost savings till 2020 that will include layoffs of up to 1330 people in Europe.
1 January 2020,nokia,Nokia Stocks -28% compared to previous year
10 June 2010,apple,Apple announced the iPhone 4.
24 August 2011,apple,Steve Jobs has resigned as Chief Executive Officer
15 September 2012,apple,Apple announced the iPhone 5.
5 October 2011,apple,Steve Jobs died following a long battle with pancreatic cancer. 
9 March 2015,apple,"The Apple Watch, the company's first smartwatch, was introduced. "
27 October 2016,apple,A new generation of MacBook Pro was announced.
31 December 2009,generaldynamics,generaldynamics's yearly stock price <b>decreased</b> by 26%
31 December 2010,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 22%
31 December 2011,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 5%
31 December 2012,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 1%
31 December 2013,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 22%
31 December 2014,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 53%
31 December 2015,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 21%
31 December 2016,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 6%
31 December 2017,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 37%
31 December 2018,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 3%
31 December 2019,generaldynamics,generaldynamics's yearly stock price <b>decreased</b> by 9%
31 December 2020,generaldynamics,generaldynamics's yearly stock price <b>decreased</b> by 13%
31 December 2021,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 5%
31 December 2009,nvr,nvr's yearly stock price <b>increased</b> by 1%
31 December 2010,nvr,nvr's yearly stock price <b>increased</b> by 23%
31 December 2011,nvr,nvr's yearly stock price <b>increased</b> by 4%
31 December 2012,nvr,nvr's yearly stock price <b>increased</b> by 16%
31 December 2013,nvr,nvr's yearly stock price <b>increased</b> by 20%
31 December 2014,nvr,nvr's yearly stock price <b>increased</b> by 19%
31 December 2015,nvr,nvr's yearly stock price <b>increased</b> by 26%
31 December 2016,nvr,nvr's yearly stock price <b>increased</b> by 14%
31 December 2017,nvr,nvr's yearly stock price <b>increased</b> by 52%
31 December 2018,nvr,nvr's yearly stock price <b>increased</b> by 13%
31 December 2019,nvr,nvr's yearly stock price <b>increased</b> by 15%
31 December 2020,nvr,nvr's yearly stock price <b>increased</b> by 12%
31 December 2021,nvr,nvr's yearly stock price <b>increased</b> by 19%
31 December 2009,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 5%
31 December 2010,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 17%
31 December 2011,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 20%
31 December 2012,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 7%
31 December 2013,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 28%
31 December 2014,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 23%
31 December 2015,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 16%
31 December 2016,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 33%
31 December 2017,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 17%
31 December 2018,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 9%
31 December 2019,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 20%
31 December 2020,atmosenergy,atmosenergy's yearly stock price <b>decreased</b> by 1%
31 December 2021,atmosenergy,atmosenergy's yearly stock price <b>decreased</b> by 10%
31 December 2009,pizzahut,pizzahut's yearly stock price <b>decreased</b> by 3%
31 December 2010,pizzahut,pizzahut's yearly stock price <b>increased</b> by 32%
31 December 2011,pizzahut,pizzahut's yearly stock price <b>increased</b> by 27%
31 December 2012,pizzahut,pizzahut's yearly stock price <b>increased</b> by 30%
31 December 2013,pizzahut,pizzahut's yearly stock price <b>increased</b> by 6%
31 December 2014,pizzahut,pizzahut's yearly stock price <b>increased</b> by 8%
31 December 2015,pizzahut,pizzahut's yearly stock price <b>increased</b> by 10%
31 December 2016,pizzahut,pizzahut's yearly stock price <b>increased</b> by 6%
31 December 2017,pizzahut,pizzahut's yearly stock price <b>increased</b> by 24%
31 December 2018,pizzahut,pizzahut's yearly stock price <b>increased</b> by 19%
31 December 2019,pizzahut,pizzahut's yearly stock price <b>increased</b> by 25%
31 December 2020,pizzahut,pizzahut's yearly stock price <b>decreased</b> by 9%
31 December 2021,pizzahut,pizzahut's yearly stock price <b>increased</b> by 14%
31 December 2009,halliburton,halliburton's yearly stock price <b>decreased</b> by 35%
31 December 2010,halliburton,halliburton's yearly stock price <b>increased</b> by 39%
31 December 2011,halliburton,halliburton's yearly stock price <b>increased</b> by 38%
31 December 2012,halliburton,halliburton's yearly stock price <b>decreased</b> by 22%
31 December 2013,halliburton,halliburton's yearly stock price <b>increased</b> by 37%
31 December 2014,halliburton,halliburton's yearly stock price <b>increased</b> by 32%
31 December 2015,halliburton,halliburton's yearly stock price <b>decreased</b> by 29%
31 December 2016,halliburton,halliburton's yearly stock price <b>increased</b> by 4%
31 December 2017,halliburton,halliburton's yearly stock price <b>increased</b> by 12%
31 December 2018,halliburton,halliburton's yearly stock price <b>decreased</b> by 5%
31 December 2019,halliburton,halliburton's yearly stock price <b>decreased</b> by 43%
31 December 2020,halliburton,halliburton's yearly stock price <b>decreased</b> by 39%
31 December 2021,halliburton,halliburton's yearly stock price <b>increased</b> by 36%
31 December 2009,paccar,paccar's yearly stock price <b>decreased</b> by 17%
31 December 2010,paccar,paccar's yearly stock price <b>increased</b> by 38%
31 December 2011,paccar,paccar's yearly stock price <b>increased</b> by 3%
31 December 2012,paccar,paccar's yearly stock price <b>decreased</b> by 5%
31 December 2013,paccar,paccar's yearly stock price <b>increased</b> by 31%
31 December 2014,paccar,paccar's yearly stock price <b>increased</b> by 23%
31 December 2015,paccar,paccar's yearly stock price <b>decreased</b> by 2%
31 December 2016,paccar,paccar's yearly stock price <b>decreased</b> by 3%
31 December 2017,paccar,paccar's yearly stock price <b>increased</b> by 24%
31 December 2018,paccar,paccar's yearly stock price <b>decreased</b> by 0%
31 December 2019,paccar,paccar's yearly stock price <b>increased</b> by 13%
31 December 2020,paccar,paccar's yearly stock price <b>increased</b> by 17%
31 December 2021,paccar,paccar's yearly stock price <b>increased</b> by 21%
31 December 2009,cintas,cintas's yearly stock price <b>decreased</b> by 7%
31 December 2010,cintas,cintas's yearly stock price <b>increased</b> by 7%
31 December 2011,cintas,cintas's yearly stock price <b>increased</b> by 16%
31 December 2012,cintas,cintas's yearly stock price <b>increased</b> by 33%
31 December 2013,cintas,cintas's yearly stock price <b>increased</b> by 23%
31 December 2014,cintas,cintas's yearly stock price <b>increased</b> by 37%
31 December 2015,cintas,cintas's yearly stock price <b>increased</b> by 36%
31 December 2016,cintas,cintas's yearly stock price <b>increased</b> by 18%
31 December 2017,cintas,cintas's yearly stock price <b>increased</b> by 34%
31 December 2018,cintas,cintas's yearly stock price <b>increased</b> by 40%
31 December 2019,cintas,cintas's yearly stock price <b>increased</b> by 29%
31 December 2020,cintas,cintas's yearly stock price <b>increased</b> by 24%
31 December 2021,cintas,cintas's yearly stock price <b>increased</b> by 18%
31 December 2009,mastercard,mastercard's yearly stock price <b>decreased</b> by 12%
31 December 2010,mastercard,mastercard's yearly stock price <b>increased</b> by 22%
31 December 2011,mastercard,mastercard's yearly stock price <b>increased</b> by 31%
31 December 2012,mastercard,mastercard's yearly stock price <b>increased</b> by 45%
31 December 2013,mastercard,mastercard's yearly stock price <b>increased</b> by 43%
31 December 2014,mastercard,mastercard's yearly stock price <b>increased</b> by 27%
31 December 2015,mastercard,mastercard's yearly stock price <b>increased</b> by 20%
31 December 2016,mastercard,mastercard's yearly stock price <b>increased</b> by 4%
31 December 2017,mastercard,mastercard's yearly stock price <b>increased</b> by 34%
31 December 2018,mastercard,mastercard's yearly stock price <b>increased</b> by 51%
31 December 2019,mastercard,mastercard's yearly stock price <b>increased</b> by 34%
31 December 2020,mastercard,mastercard's yearly stock price <b>increased</b> by 21%
31 December 2021,mastercard,mastercard's yearly stock price <b>increased</b> by 9%
31 December 2009,mtbank,mtbank's yearly stock price <b>decreased</b> by 27%
31 December 2010,mtbank,mtbank's yearly stock price <b>increased</b> by 59%
31 December 2011,mtbank,mtbank's yearly stock price <b>increased</b> by 3%
31 December 2012,mtbank,mtbank's yearly stock price <b>increased</b> by 12%
31 December 2013,mtbank,mtbank's yearly stock price <b>increased</b> by 27%
31 December 2014,mtbank,mtbank's yearly stock price <b>increased</b> by 14%
31 December 2015,mtbank,mtbank's yearly stock price <b>increased</b> by 4%
31 December 2016,mtbank,mtbank's yearly stock price <b>decreased</b> by 1%
31 December 2017,mtbank,mtbank's yearly stock price <b>increased</b> by 38%
31 December 2018,mtbank,mtbank's yearly stock price <b>increased</b> by 11%
31 December 2019,mtbank,mtbank's yearly stock price <b>decreased</b> by 5%
31 December 2020,mtbank,mtbank's yearly stock price <b>decreased</b> by 26%
31 December 2021,mtbank,mtbank's yearly stock price <b>increased</b> by 24%
31 December 2009,google,google's yearly stock price <b>decreased</b> by 5%
31 December 2010,google,google's yearly stock price <b>increased</b> by 22%
31 December 2011,google,google's yearly stock price <b>increased</b> by 6%
31 December 2012,google,google's yearly stock price <b>increased</b> by 13%
31 December 2013,google,google's yearly stock price <b>increased</b> by 38%
31 December 2014,google,google's yearly stock price <b>increased</b> by 28%
31 December 2015,google,google's yearly stock price <b>increased</b> by 9%
31 December 2016,google,google's yearly stock price <b>increased</b> by 23%
