company,date,country,count,overall,balance,culture,career,comp,mgmt,knowledge,power,respect,trust,social_support,romance,similarity,identity,fun,conflict,
apple,2008-01-00,US,1,5.000,3.000,3.000,4.000,4.000,0.000,0.64239,0.30189,0.11729,0.31475,0.39602,0.00175,0.34157,0.28419,0.10127,0.03333,
apple,2008-02-00,US,2,4.500,4.000,4.000,4.500,4.250,0.000,0.56770,0.16351,0.08383,0.24898,0.27759,0.09064,0.51516,0.30122,0.23629,0.16422,
apple,2008-04-00,US,20,4.450,4.300,3.775,4.075,4.175,0.000,0.63978,0.21867,0.17427,0.16068,0.20091,0.04182,0.28775,0.28040,0.22527,0.12952,
nokia,2008-05-00,Finland,1,4.000,3.000,5.000,3.000,4.000,0.000,0.95113,0.64958,0.15148,0.21552,0.21190,0.00446,0.26243,0.39216,0.05803,0.04364,
nokia,2008-05-00,US,1,4.000,5.000,4.000,4.500,3.000,0.000,0.93709,0.57901,0.08105,0.17800,0.34971,0.00662,0.87258,0.36766,0.17031,0.06834,
apple,2008-05-00,US,37,4.162,3.946,3.797,3.757,3.811,0.000,0.59847,0.22292,0.19221,0.18233,0.29540,0.03426,0.29082,0.27788,0.18733,0.11968,
telefonica,2008-06-00,UK,1,1.000,1.000,1.000,2.000,1.000,0.000,0.61994,0.07263,0.10917,0.14095,0.17919,0.00067,0.09704,0.23639,0.10787,0.17154,
apple,2008-06-00,Japan,1,4.000,4.500,3.500,4.500,4.000,0.000,0.60529,0.37303,0.09904,0.07101,0.17863,0.01256,0.27932,0.31502,0.15941,0.15827,
ericsson,2008-06-00,Ireland,1,4.000,3.000,3.500,3.500,3.500,0.000,0.52095,0.32701,0.21749,0.41949,0.33436,0.00819,0.31975,0.39204,0.23182,0.25473,
telefonica,2008-06-00,Spain,1,3.000,4.000,3.000,2.000,2.000,0.000,0.63877,0.44539,0.14155,0.39865,0.28338,0.00926,0.11175,0.31898,0.14863,0.18792,
ericsson,2008-06-00,UK,1,2.000,3.500,3.000,2.500,2.000,0.000,0.42375,0.37151,0.23066,0.24654,0.42293,0.01106,0.24716,0.30374,0.10736,0.21283,
apple,2008-06-00,US,126,3.635,3.298,3.198,3.377,3.429,0.000,0.59212,0.19005,0.17550,0.21950,0.26957,0.03348,0.25816,0.29814,0.19290,0.14888,
ericsson,2008-06-00,US,6,3.000,3.333,2.833,3.000,2.917,0.000,0.61541,0.20520,0.15060,0.21075,0.16274,0.03270,0.29983,0.30650,0.21433,0.13442,
telefonica,2008-06-00,US,1,2.000,2.000,1.000,2.000,1.000,0.000,0.45481,0.42485,0.28238,0.31203,0.31112,0.14338,0.31196,0.36325,0.26974,0.32646,
