,date,employee_title,location,employee_status,review_title,pros,cons,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,review_title_knowledge,review_title_power,review_title_respect,review_title_trust,review_title_social_support,review_title_romance,review_title_similarity,review_title_identity,review_title_fun,review_title_conflict,pros_knowledge,pros_power,pros_respect,pros_trust,pros_social_support,pros_romance,pros_similarity,pros_identity,pros_fun,pros_conflict,cons_knowledge,cons_power,cons_respect,cons_trust,cons_social_support,cons_romance,cons_similarity,cons_identity,cons_fun,cons_conflict
0,2019-8, Head of Channel Services,"Slough, Berkshire, South East England, England",Current Employee ,Fantastic and focused leading operator,"Flexible working, can do people, customer focused, and passion","Internal process, layers of management and approval / ownership confusion",5.0,4.0,4.0,4.0,4.0,4.0,0.5338932275772095,0.4840719699859619,0.5741391181945801,0.557756245136261,0.49106431007385254,0.27704861760139465,0.47542327642440796,0.4442743957042694,0.3971608877182007,0.20849119126796722,0.7588589191436768,0.7508171200752258,0.5591589212417603,0.7372480630874634,0.6257182359695435,0.004734132904559374,0.14984165132045746,0.4593323767185211,0.33500075340270996,0.06955089420080185,0.8161184191703796,0.617301881313324,0.34204792976379395,0.2904577851295471,0.2125442922115326,0.004040675237774849,0.2861483693122864,0.46713268756866455,0.25235608220100403,0.21373121440410614
1,2019-12, Proposition and Pricing Manager,,Current Employee ,Good employer,"Flexible working, benefits, supportive environment",It feels insecure with restructure,4.0,3.0,4.0,4.0,4.0,4.0,0.4645095765590668,0.5099956393241882,0.5167050957679749,0.5113603472709656,0.5336166620254517,0.2477855682373047,0.4963989555835724,0.4936388432979584,0.5487868189811707,0.42755430936813354,0.6154240965843201,0.5739242434501648,0.5812621712684631,0.49437230825424194,0.7072755098342896,0.06384535878896713,0.3755843937397003,0.5109549760818481,0.25100967288017273,0.08936063200235367,0.46927711367607117,0.3443162441253662,0.3763692080974579,0.6052170395851135,0.541766345500946,0.6111252307891846,0.5161972641944885,0.5282984972000122,0.30265694856643677,0.5929505825042725
2,2019-9, Account Manager,"Slough, Berkshire, South East England, England",Former Employee ,Great place to work,Work-life balance Flexibility Staff benefits Great office Strong brand,Sales commission structure doesnt' reward as it should do. Company acknowledges this as an offset to staff flexibility - a real shame.,4.0,4.0,4.0,4.0,4.0,4.0,0.5137859582901001,0.4472595751285553,0.5805636048316956,0.533355176448822,0.5022245645523071,0.12390059977769852,0.48311662673950195,0.4609968364238739,0.40696391463279724,0.16764330863952637,0.681039035320282,0.6839045882225037,0.6675342321395874,0.6821853518486023,0.508928120136261,0.006270511541515589,0.41076982021331787,0.4498533606529236,0.30660977959632874,0.028210796415805817,0.9774163961410522,0.8700758814811707,0.08308758586645126,5.760959425060719e-07,0.09320762753486633,0.00012584408978000283,0.018030408769845963,0.4452994465827942,0.1771678775548935,0.024722332134842873
3,2019-9, Executive Assistant,,Current Employee ,stable corporate company,stable corporate company in Spain,no cons on my side,4.0,,,,,,0.5535389184951782,0.5919139385223389,0.4698886275291443,0.5156901478767395,0.4741969704627991,0.28132084012031555,0.5180354714393616,0.5109201073646545,0.29884645342826843,0.3857274055480957,0.6201565861701965,0.6220477819442749,0.4350893497467041,0.5825911164283752,0.4212034046649933,0.13756926357746124,0.5351783037185669,0.5378742218017578,0.3241201639175415,0.2933490574359894,0.40144863724708557,0.44646167755126953,0.43398845195770264,0.549851655960083,0.49078452587127686,0.2200629562139511,0.5416564345359802,0.4596206545829773,0.5383036732673645,0.4456920325756073
4,2019-9, Assistant Store Leader,"Cambridge, England",Current Employee ,Great place to work,"Very possitve and high energy company to work for ,full of support in the best way possible .","Start work early before contracted hours and asked to claim as time back , which mostly never happens",3.0,1.0,5.0,2.0,5.0,3.0,0.5137859582901001,0.4472595751285553,0.5805636048316956,0.533355176448822,0.5022245645523071,0.12390059977769852,0.48311662673950195,0.4609968364238739,0.40696391463279724,0.16764330863952637,0.9063268899917603,0.4220074713230133,0.30610769987106323,0.8091520667076111,0.8565399646759033,0.00018953678954858333,0.06558901071548462,0.37396320700645447,0.06284702569246292,0.005953145679086447,0.8404673337936401,0.8552452325820923,0.12454214692115784,1.3645916396853863e-06,0.4623247981071472,0.01083542313426733,0.21024851500988007,0.35629627108573914,0.4648131728172302,0.1837884932756424
5,2019-8, Head of FP&A,"Slough, Berkshire, South East England, England",Current Employee ,High performance culture and collaborative environment,"Collaborative environment, good flexible benefits",Can be long hours at busy times,4.0,3.0,5.0,5.0,4.0,4.0,0.6350765824317932,0.48259416222572327,0.5303881168365479,0.45498088002204895,0.4625515937805176,0.17328278720378876,0.4558294415473938,0.570652961730957,0.2601373791694641,0.40235278010368347,0.6393078565597534,0.5393601059913635,0.5813376307487488,0.5771952271461487,0.6703331470489502,0.022641420364379883,0.4894173741340637,0.4789797365665436,0.35636433959007263,0.1314115673303604,0.5948498249053955,0.6239256262779236,0.3288132846355438,0.5525292158126831,0.5505310297012329,0.27161705493927,0.37619873881340027,0.3657107651233673,0.6594990491867065,0.24912509322166443
6,2019-8, O2 Guru,"Worthing, South East England, England",Current Employee ,A great place to work,"Working in a constantly evolving industry, supported by great training.",Difficult customers.  More about who you know than what you know in terms of progression.,4.0,3.0,5.0,3.0,4.0,2.0,0.4817609190940857,0.3605343997478485,0.5588801503181458,0.3390422463417053,0.6138678789138794,0.32973530888557434,0.4994112551212311,0.447500079870224,0.4720766246318817,0.14138579368591309,0.7820920944213867,0.5715856552124023,0.42025402188301086,0.3671031594276428,0.5397765636444092,9.94588845060207e-05,0.5848982334136963,0.5186727046966553,0.17468686401844025,0.07948590815067291,0.8139910101890564,0.749620258808136,0.11083996295928955,0.867475688457489,0.18176878988742828,8.108995825750753e-05,0.22446107864379883,0.4675195515155792,0.057888053357601166,0.06584889441728592
7,2019-7, Assistant Store Leader,,Current Employee ,Assistant manager,"The people you work with some of the friendships I have made,Pay, commission, benefits and rewards",None at this moment,5.0,,,,,,0.49068135023117065,0.5285702347755432,0.4637276232242584,0.48278680443763733,0.47662729024887085,0.4681183993816376,0.47307950258255005,0.4741288423538208,0.5175517201423645,0.4166572093963623,0.6919990181922913,0.17514780163764954,0.4413755536079407,0.8873350024223328,0.6691616177558899,0.0036720449570566416,0.6801783442497253,0.3949408233165741,0.2068207710981369,0.09460632503032684,0.4513360559940338,0.4891042709350586,0.5023298859596252,0.41768673062324524,0.45294106006622314,0.39341992139816284,0.5181965231895447,0.43348807096481323,0.7146076560020447,0.4575297236442566
8,2019-6, Enterprise Sales,"Slough, Berkshire, South East England, England",Current Employee ,Great culture but senior management is horrendous,Work life balance if you’re smart Colleagues and culture (best I’ve known) Perks and commission,Senior management  Senior management experience  Senior management relevance,2.0,3.0,5.0,2.0,5.0,1.0,0.6053974628448486,0.4511239230632782,0.5237708687782288,0.5972375273704529,0.3555421233177185,0.017772912979125977,0.5265141129493713,0.5273992419242859,0.3598623275756836,0.3312877118587494,0.6256415843963623,0.5036662817001343,0.3803262412548065,9.37429717851046e-07,0.72746342420578,0.013725552707910538,0.03136851638555527,0.4829295575618744,0.3192620277404785,0.0338900052011013,0.750942587852478,0.695877194404602,0.5013434290885925,0.5467555522918701,0.5038880109786987,0.024397047236561775,0.5068017840385437,0.44719505310058594,0.35171791911125183,0.16113786399364471
9,2019-4,,,Current Employee ,Trading Analyst,Amazing culture and environment. Great Pay. Load of progress.,Better processes and training needed for better work as a company.,5.0,5.0,5.0,5.0,5.0,5.0,0.5193934440612793,0.5762040615081787,0.4831807315349579,0.4826440215110779,0.4202058017253876,0.3455919027328491,0.4938428997993469,0.45926976203918457,0.7117525339126587,0.487337589263916,0.8460280895233154,0.2662096321582794,0.41307446360588074,0.409102201461792,0.18568015098571777,3.032131280633621e-05,0.22131752967834473,0.46954914927482605,0.04021661356091499,0.015203556045889854,0.8972371816635132,0.6912845969200134,0.30626851320266724,0.752983570098877,0.8229318857192993,0.00013490025594364852,0.1888403743505478,0.35761702060699463,0.03999563306570053,0.008040258660912514
